CD,total_rats,tons_of_garbage
01 BRONX,2338,764007.8
02 BRONX,2027,582803.0
03 BRONX,2522,723072.8
04 BRONX,4158,1598950.4
05 BRONX,3365,1351276.7
06 BRONX,2632,832281.0
07 BRONX,3807,1433232.1
08 BRONX,2101,953756.6
09 BRONX,3131,1677616.2
10 BRONX,974,963393.5
11 BRONX,2724,1161867.5
12 BRONX,2852,1511372.4
01 BROOKLYN,5258,1831898.7
02 BROOKLYN,4003,904089.0
03 BROOKLYN,9437,1617771.8
04 BROOKLYN,6040,1215685.2
05 BROOKLYN,3560,1744805.6
06 BROOKLYN,3968,960605.1
07 BROOKLYN,2136,1277745.2
08 BROOKLYN,5855,1080855.3
09 BROOKLYN,3655,1204536.6
10 BROOKLYN,1432,1268158.9
11 BROOKLYN,1481,1876292.4
12 BROOKLYN,1542,2188059.3
13 BROOKLYN,1453,843965.0
14 BROOKLYN,2805,1870493.1
15 BROOKLYN,1309,1788984.2
16 BROOKLYN,2401,819373.1
17 BROOKLYN,3000,1782783.6
18 BROOKLYN,1701,2079161.4
01 MANHATTAN,1261,401711.6
02 MANHATTAN,2468,898406.4
03 MANHATTAN,4333,1259902.2
04 MANHATTAN,2517,840905.2
05 MANHATTAN,1051,516284.7
06 MANHATTAN,1382,1268163.9
07 MANHATTAN,7969,2123026.5
08 MANHATTAN,4392,2270153.7
09 MANHATTAN,3596,1083822.8
10 MANHATTAN,6831,1131518.8
11 MANHATTAN,3286,1006505.2
12 MANHATTAN,4920,2139581.2
01 QUEENS,3032,1744235.6
02 QUEENS,2348,1060287.7
03 QUEENS,1752,1808392.6
04 QUEENS,1641,1590480.8
05 QUEENS,4083,1857490.3
06 QUEENS,970,1094103.8
07 QUEENS,1752,2461125.3
08 QUEENS,1134,1405019.7
09 QUEENS,1271,1547162.9
10 QUEENS,1602,1516774.5
11 QUEENS,522,1229648.9
12 QUEENS,3572,2674157.6
13 QUEENS,1356,2226675.4
14 QUEENS,743,1109049.8
01 STATEN ISLAND,3540,2078852.9
02 STATEN ISLAND,1730,1720679.5
03 STATEN ISLAND,2258,2259263.4
